,Predictions,Close,bias
0,15.626394,16.28,0.040147771999349824
1,15.8901615,15.78,-0.006981084555274221
2,16.00497,14.200000000000001,-0.12711060215050057
3,15.537264,13.920000000000002,-0.11618274929879711
4,15.015722,14.32,-0.04858395773605259
5,14.657135,14.17,-0.03437791176892202
6,14.380839,14.1,-0.019917684243925947
7,14.174637,14.32,0.010151058601933504
8,14.090604,14.469999999999999,0.026219500454030622
9,14.140771,14.379999999999999,0.01663623698397697
10,14.194769,14.059999999999999,-0.009585270671383338
11,14.197648,14.08,-0.008355685255744235
12,14.147918,14.420000000000002,0.018868394764385787
13,14.176498,14.35,0.012090702920840567
14,14.235282,14.650000000000002,0.028308399708197932
15,14.336943,14.95,0.041007179081639276
16,14.5261345,15.110000000000001,0.03864099993601617
17,14.753529,15.5,0.048159445485761086
18,15.052339,16.25,0.07370223999023437
19,15.418639,15.5,0.005249084964875252
20,15.676355,15.69,0.0008696391371270198
21,15.724905,15.08,-0.04276558448528421
22,15.627742,15.460000000000003,-0.010850052629991287
23,15.507863,15.51,0.00013777919156868185
24,15.473189,15.4,-0.004752555450835762
25,15.416953,15.5,0.005357865364320816
26,15.389056,15.27,-0.007796739079863271
27,15.337912,14.72,-0.04197769061378806
28,15.191802,14.749999999999998,-0.029952679650258333
29,14.98506,14.5,-0.03345239573511584
30,14.803641,14.240000000000002,-0.03958155331986659
31,14.588342,14.09,-0.03536846791708022
32,14.338816,13.33,-0.07568009670569498
33,14.116955,13.15,-0.0735326846742811
34,13.829422,12.74,-0.08551193069625684
35,13.551963,12.68,-0.06876678647303057
36,13.259224,12.68,-0.04568012129245123
37,13.016937,11.79,-0.10406592500927701
38,12.750791,12.65,-0.00796763604808699
39,12.587146,13.23,0.04859064207415825
40,12.611356,13.15,0.04096153752432126
41,12.708938,13.34,0.04730602361630463
42,12.866924,13.05,0.014028790353358531
43,12.967692,13.69,0.052761696480415926
44,13.149468,13.45,0.022344355246391386
45,13.313172,13.3,-0.0009904015333132101
46,13.3707,13.25,-0.009109425094892393
47,13.366506,13.22,-0.011082119732508992
48,13.372113,12.98,-0.03020903142097364
49,13.310791,13.01,-0.023119985828209087
50,13.213196,12.8,-0.0322809219360351
51,13.10852,12.6,-0.040358694772871746
52,12.976281,12.86,-0.009042081343441736
53,12.870238,12.86,-0.0007961356250532008
54,12.812757,12.84,0.002121764922810481
55,12.774654,12.73,-0.003507807417732439
56,12.769032,12.66,-0.008612284728136096
57,12.750259,12.32,-0.03492365254984271
58,12.691407,12.64,-0.0040670256071452405
59,12.627283,12.5,-0.010182647705078126
60,12.590071,13.35,0.05692354123690599
61,12.702715,12.94,0.01833733229954051
62,12.822613,13.02,0.015160310103596598
63,12.880803,12.85,-0.0023971290439947384
64,12.882544,13.04,0.012074880073406881
65,12.898591,12.98,0.006271876612870495
66,12.905455,13.2,0.022314042756051675
67,12.930633,13.22,0.02188860883150091
68,12.983813,13.23,0.018608217246588336
69,13.063716,13.19,0.009574227842803755
70,13.121568,13.29,0.012673609771613638
71,13.154369,13.31,0.011692760762731302
72,13.2167225,13.57,0.026033714929747973
73,13.289106,13.53,0.01780440731570175
74,13.3812475,13.72,0.024690413961605196
75,13.46961,12.24,-0.10045835083606194
76,13.270271,12.15,-0.09220339928144287
77,12.996409,11.67,-0.11365976145661787
78,12.687059,11.78,-0.07699994927553659
79,12.386481,11.9,-0.040880780260102056
80,12.165504,11.82,-0.029230495394789
81,12.007284,11.9,-0.009015476002412653
82,11.916726,12.1,0.015146602283824546
83,11.878715,12.2,0.02633487201127844
84,11.890442,12.09,0.016506046771608756
85,11.928339,12.2,0.022267294711753913
86,11.973042,12.08,0.008854177613921519
87,12.009729,11.83,-0.015192678391883051
88,12.017599,11.72,-0.025392415173631423
89,11.98801,11.88,-0.009091785058429279
90,11.942464,11.92,-0.0018845532564508896
91,11.906294,11.96,0.004490479179050683
92,11.893828,11.95,0.004700552968300477
93,11.884079,11.78,-0.008835227461136515
94,11.871564,11.81,-0.005212862949871954
95,11.85279,11.74,-0.009607315063476543
96,11.822541,11.71,-0.00961069486570799
97,11.787519,11.78,-0.0006383238502593656
98,11.775973,11.84,0.0054076587831651726
99,11.7692375,12.03,0.021676016765540523
100,11.793619,12.08,0.02370702351955389
101,11.843244,12.18,0.02764830878998452
102,11.901082,12.2,0.024501472223000392
103,11.970681,12.31,0.027564484931704127
104,12.040323,12.31,0.021907127746036672
105,12.117905,12.81,0.05402773902529766
106,12.246685,13.14,0.06798439664564906
107,12.452137,13.03,0.044348657451404164
108,12.699701,12.99,0.02234785918367195
109,12.847617,13.47,0.04620511140660529
110,13.019387,13.8,0.05656614165375203
111,13.211711,13.82,0.04401512808461612
112,13.396046,14.029999999999998,0.045185624745940456
113,13.5992365,13.65,0.0037189385829827985
114,13.736953,12.89,-0.06570618942414627
115,13.686778,12.74,-0.0743153899954851
116,13.471957,13.48,0.0005966463853060985
117,13.329219,13.64,0.02278454073013802
118,13.334526,13.830000000000002,0.03582602588490839
119,13.435361,13.6,0.01210581555086021
120,13.501001,13.09,-0.03139811749673237
121,13.486901,13.31,-0.013290855241484573
122,13.437671,13.42,-0.0013167442401368695
123,13.425464,13.62,0.014283136824329112
124,13.41862,13.73,0.02267879755585542
125,13.458874,13.62,0.011830121235000173
126,13.522042,14.08,0.039627679369666366
127,13.638733,14.3,0.04624245383522732
128,13.805624,14.749999999999998,0.06402549097093474
129,14.045505,15.36,0.08557912955681479
130,14.420891,15.020000000000001,0.039887429553564085
131,14.7344475,14.39,-0.02393658646616027
132,14.814486,14.54,-0.018877960792761946
133,14.804348,14.610000000000001,-0.01330239506799166
134,14.722015,14.72,-0.0001369144605553234
135,14.684375,14.95,0.017767571286612882
136,14.676055,15.08,0.02678680672885885
137,14.791396,14.89,0.006622153052233342
138,14.873175,14.91,0.002469841223447465
139,14.922904,14.420000000000002,-0.03487545177443832
140,14.868211,14.420000000000002,-0.03108257923311388
141,14.742711,14.39,-0.02451084553159878
142,14.602978,14.17,-0.030555945849368167
143,14.447524,13.85,-0.043142532183375194
144,14.278411,14.54,0.017990996453916133
145,14.215995,14.5,0.019586563110351562
